,f (Hz),spec (norm.),phase (rad),shear (Hz)
0,111000000000000.0,0.0012300061310437462,35.36166570764454,1000000000000
1,111061179087875.42,0.0012824662516734808,35.152919959190754,1000000000000
2,111122358175750.83,0.0013369892284945902,34.94470661619078,1000000000000
3,111183537263626.25,0.0013936482221664434,34.73702661034196,1000000000000
4,111244716351501.67,0.001452518644356105,34.529880870994965,1000000000000
5,111305895439377.08,0.0015136782129163504,34.32327032516206,1000000000000
6,111367074527252.5,0.0015772070078611173,34.117195897525406,1000000000000
7,111428253615127.92,0.0016431875281271266,33.91165851044575,1000000000000
8,111489432703003.34,0.001711704749109674,33.70665908397071,1000000000000
9,111550611790878.75,0.0017828461809588677,33.50219853584331,1000000000000
10,111611790878754.17,0.0018567019276216432,33.29827778151017,1000000000000
11,111672969966629.6,0.0019333647466132243,33.094897734130285,1000000000000
12,111734149054505.0,0.00201293010950085,32.892059304583285,1000000000000
13,111795328142380.42,0.0020954962630807977,32.68976340147773,1000000000000
14,111856507230255.84,0.00218116429122822,32.48801093115985,1000000000000
15,111917686318131.25,0.0022700381773984113,32.286802797721826,1000000000000
16,111978865406006.67,0.002362224867756089,32.08613990301008,1000000000000
17,112040044493882.1,0.0024578343349077026,31.88602314663399,1000000000000
18,112101223581757.52,0.0025569796422108323,31.686453425974143,1000000000000
19,112162402669632.92,0.0026597770086323616,31.487431636190884,1000000000000
20,112223581757508.34,0.0027663458741260887,31.288958670232525,1000000000000
21,112284760845383.77,0.0028768089654981023,31.091035418844076,1000000000000
22,112345939933259.17,0.0029912923627273534,30.89366277057557,1000000000000
23,112407119021134.6,0.003109925565706508,30.696841611790312,1000000000000
24,112468298109010.02,0.0032328415613662544,30.500572826673615,1000000000000
25,112529477196885.42,0.0033601768911452005,30.304857297241117,1000000000000
26,112590656284760.84,0.0034920717187649454,30.109695903347028,1000000000000
27,112651835372636.27,0.0036286698982679966,29.91508952269288,1000000000000
28,112713014460511.69,0.003770119042275056,29.7210390308358,1000000000000
29,112774193548387.1,0.00391657059041538,29.527545301196955,1000000000000
30,112835372636262.52,0.004068179877882624,29.33460920506988,1000000000000
31,112896551724137.94,0.004225106204065863,29.14223161162917,1000000000000
32,112957730812013.34,0.004387512901204539,28.950413387938767,1000000000000
33,113018909899888.77,0.004555567403013077,28.759155398960246,1000000000000
34,113080088987764.19,0.0047294413132190245,28.56845850756157,1000000000000
35,113141268075639.6,0.004909310473957175,28.37832357452533,1000000000000
36,113202447163515.02,0.005095355033959377,28.18875145855709,1000000000000
37,113263626251390.44,0.005287759516477343,27.999743016294076,1000000000000
38,113324805339265.84,0.005486712886874856,27.811299102313477,1000000000000
39,113385984427141.27,0.005692408619822609,27.623420569140734,1000000000000
40,113447163515016.69,0.005905044766026476,27.43610826725828,1000000000000
41,113508342602892.11,0.006124824018419451,27.249363045113746,1000000000000
42,113569521690767.52,0.006351953777743494,27.06318574912854,1000000000000
43,113630700778642.94,0.006586646217446794,26.877577223706048,1000000000000
44,113691879866518.36,0.006829118347818341,26.69253831124038,1000000000000
45,113753058954393.77,0.007079592079281373,26.508069852124663,1000000000000
46,113814238042269.19,0.007338294284763737,26.324172684759315,1000000000000
47,113875417130144.61,0.007605456861060744,26.14084764556079,1000000000000
48,113936596218020.02,0.007881316789105834,25.958095568969856,1000000000000
49,113997775305895.44,0.008166116193060515,25.775917287459883,1000000000000
50,114058954393770.86,0.00846010239813278,25.59431363154558,1000000000000
51,114120133481646.28,0.008763527987033164,25.413285429791223,1000000000000
52,114181312569521.69,0.009076650854973015,25.2328335088192,1000000000000
53,114242491657397.11,0.009399734263109598,25.05295869331825,1000000000000
54,114303670745272.53,0.009733046890338383,24.873661806052176,1000000000000
55,114364849833147.94,0.010076862883333813,24.694943667868152,1000000000000
56,114426028921023.36,0.010431461904735451,24.516805097705003,1000000000000
57,114487208008898.78,0.010797129179374703,24.33924691260194,1000000000000
58,114548387096774.19,0.011174155538437532,24.16226992770683,1000000000000
59,114609566184649.61,0.011562837461454529,23.985874956284523,1000000000000
60,114670745272525.03,0.011963477116008075,23.810062809725537,1000000000000
61,114731924360400.44,0.01237638239504652,23.634834297554363,1000000000000
62,114793103448275.86,0.01280186695169217,23.460190227437778,1000000000000
63,114854282536151.28,0.013240250231426913,23.286131405193533,1000000000000
64,114915461624026.7,0.013691857501541912,23.112658634798613,1000000000000
65,114976640711902.11,0.0141570198777317,22.93977271839778,1000000000000
66,115037819799777.53,0.014636074347715251,22.767474456311803,1000000000000
67,115098998887652.95,0.015129363791762104,22.595764647046174,1000000000000
68,115160177975528.36,0.015637237000003835,22.42464408729941,1000000000000
69,115221357063403.78,0.01616004868640778,22.25411357197135,1000000000000
70,115282536151279.2,0.016698159499287896,22.08417389417187,1000000000000
71,115343715239154.61,0.017251936028230577,21.914825845229164,1000000000000
72,115404894327030.03,0.017821750807308873,21.74607021469807,1000000000000
73,115466073414905.45,0.018407982314457807,21.57790779036874,1000000000000
74,115527252502780.88,0.019011014966886414,21.410339358274943,1000000000000
75,115588431590656.28,0.019631239112397322,21.24336570270254,1000000000000
76,115649610678531.7,0.020269051016487568,21.076987606197775,1000000000000
77,115710789766407.12,0.020924852845100615,20.91120584957597,1000000000000
78,115771968854282.53,0.02159905264290409,20.74602121192982,1000000000000
79,115833147942157.95,0.022292064306964125,20.581434470637692,1000000000000
80,115894327030033.38,0.023004307555686335,20.41744640137235,1000000000000
81,115955506117908.78,0.023736207892899215,20.25405777810922,1000000000000
82,116016685205784.2,0.024488196566950733,20.091269373134743,1000000000000
